title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,addressBook,point
Time After Time,1979,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.44899 37.80288)
Quitters,2015,Claire Lilienthal Elementary School,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.45796 37.7871)
Quitters,2015,1536 Noe St.,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,CA,San Francisco,POINT (-122.431454017 37.744473004)
The Dead Pool,1988,550 El Camino Del Mar (Seacliff),,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.489937992 37.787534989)
The Princess Diaries,2001,2601 Lyon Street,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.447010997 37.794680981)
"Murder in the First, Season 1",2014,Ida B. Wells High School (1099 Hayes Street),"Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells",Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.434035978 37.775064017)
Junior,1994,722 Steiner Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,CA,San Francisco,POINT (-122.432784979 37.776451012)
The Woman In Red,1984,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Orion Pictures Corp.,MGM Home Entertainment,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,,CA,San Francisco,POINT (-122.43146 37.77722)
The Bachelor,1999,Pacific Stock Exchange (301 Pine Street at Sansome),,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,CA,San Francisco,POINT (-122.400920001 37.792099983)
Final Analysis,1992,Bix Restaurant (56 Gold Street),,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,,CA,San Francisco,POINT (-122.402907 37.796864)
Women is Losers,2020,2712 Bryant St,,Look at the Moon Pictures,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil,CA,San Francisco,POINT (-122.409273992 37.750881011)
Rent,2005,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Rent Productions LLC,Columbia Pictures,Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,,CA,San Francisco,POINT (-122.37087 37.82489)
The Last Black Man in San Francisco,2019,Illinois St btwn Marin and Amador,,"LBMISF, LLC",A45,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.386040027 37.745770019)
"Smile Again, Jenny Lee",2015,Europa Café (4318 California St. and 5th Ave.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.463499961 37.785130012)
Sense8,2015,Market St. overpass,Bicycle chase scene,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.40001657 37.79039257)
Tucker: The Man and His Dream,1988,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Lucasfilm,Paramount Pictures,Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau,CA,San Francisco,POINT (-122.290284937 38.004649955)
Dirty Harry,1971,"Kezar Stadium, Golden Gate Park",The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.45472 37.7664)
Nash Bridges,2021,2800 Pacific Avenue,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.441781025 37.792684998)
Terminator - Genisys,2015,Pier 14,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.3911 37.79366)
The Phone/Jexi,2019,Tamarind Hall - 1268 Grant Ave,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.407001994 37.79864801)
Tales of the City,2019,Mission District,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.41914 37.75993)
Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton,CA,San Francisco,POINT (-122.407105007 37.785159013)
Shit and Champagne,2020,Leavenworth at Greenwich St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.417790006 37.801250004)
Ant-Man,2015,Intersection of California at Polk,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,CA,San Francisco,POINT (-122.420680003 37.790569993)
Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,CA,San Francisco,POINT (-122.395449971 37.761369998)
Interview With The Vampire,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,CA,San Francisco,POINT (-122.47847 37.81914)
Bitter Melon,2018,3189 16th St,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,CA,San Francisco,POINT (-122.423608975 37.764560989)
Chance Season 2,2017,Lombard St between Hyde and Larkin St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.421249972 37.801779992)
Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis,CA,San Francisco,POINT (-122.412683593 37.800975612)
Hulk,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Universal Pictures,Universal Pictures,Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,,CA,San Francisco,POINT (-122.47847 37.81914)
Venom,2018,Grant Ave btwn Washington and Jackson,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.406630005 37.796030006)
Surface,2022,Jackson Street between Stockton and Grant,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.406630005 37.796030006)
Sudden Impact,1983,The Embarcadero/Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,CA,San Francisco,POINT (-122.39343 37.79553)
Looking Season 2 ep 204,2015,970 Geary Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.419180983 37.786153987)
Etruscan Smile,2017,3rd Street between Market & Harrison,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.397389963 37.78255002)
Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,,"Creative Monster Productions, Inc.",5 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.440319975 37.770850015)
Always Be My Maybe,2019,Pier 7,,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,CA,San Francisco,POINT (-122.397409995 37.799364998)
San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard,"Characters walk to get a vantage point for Coit tower. 250 actors walking ""fleeing"" the addressBook after earthquake","Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,CA,San Francisco,POINT (-122.419430009 37.801070003)
Birth of the Dragon,2016,Pier 45 - Jeremiah O'Brien Liberty Ship,The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,CA,San Francisco,POINT (-122.417428501 37.809873676)
The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Hollywood Pictures,Buena Vista Pictures,Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,,CA,San Francisco,POINT (-122.41075 37.79232)
Sense8,2015,18th Street between Guerrero and Valencia Streets,"Re-enactment of ""Dyke's on Bikes"" and ""Dyke March""","Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.453869992 37.492129983)
So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,CA,San Francisco,POINT (-122.406458 37.797505)
Blue Jasmine,2013,Taylor & Green St.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.413929972 37.798900012)
The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",,Warner Bros. Pictures,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George,CA,San Francisco,POINT (-122.407150018 37.790380017)
Surface,2022,Merchant Road Trail at Presidio,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.474540017 37.806720013)
Chance- Season 1 ep106,2016,2 Rowland,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.404530038 37.797715741)
Chance - Season 1 Pilot,2016,UN Plaza/ Civic Center Bart steps,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.41362 37.77964)
Goliath- Season 4,2021,Grant and Commercial,,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.406179981 37.793839983)
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,,CA,San Francisco,POINT (-122.387090028 37.755429995)
Chance Season 2,2017,Duboce between Buena Vista East and Alpine St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.437487857 37.768721005)
The Last Black Man in San Francisco,2019,900 Innes Ave,Boat dock,"LBMISF, LLC",A26,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.375759958 37.732206005)
Heart Beat,1980,Washington Square Bar & Grill (1707 Powell),,Orion Pictures Corporation,Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte,Sissy Spacek,John Heard,CA,San Francisco,POINT (-122.409689986 37.794750006)
Shit and Champagne,2020,La Ferrera Terrace at Kearny St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.406639979 37.803949983)
DEVS,2020,Harrison at 25th St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,CA,San Francisco,POINT (-122.411780014 37.75104999)
"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,CA,San Francisco,POINT (-122.462650036 37.74842)
Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)","The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s.",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,CA,San Francisco,POINT (-122.4346 37.76188)
Looking Season 2 ep 207,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.434883976 37.771797002)
Chance Season 2,2017,Scott St between Jackson and Clay St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.439139971 37.790079987)
Nash Bridges,2021,Alameda Street between Vermont and San Bruno,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.405759963 37.768499981)
Flubber,1997,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney Pictures,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,,CA,San Francisco,POINT (-122.37087 37.82489)
The Phone/Jexi,2019,Texas at 17th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.395820032 37.765190009)
"Murder in the First, Season 1",2014,AT&T Park,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.38951 37.77849)
A Taiwanese Tale of Two Cities,2018,Steiner St at Fulton St,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.433210026 37.777489991)
Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,CA,San Francisco,POINT (-122.410437987 37.801430005)
Sense8,2015,"Atlas Café, 3049 20th St.",Dialogue scene inside the café,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,CA,San Francisco,POINT (-122.411413 37.758937)
Bullitt,1968,2700 Vallejo Street (Pacific Heights),,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.442026028 37.794603993)
Summertime,2015,Turk St between Lyon and Baker St,,"Creative Monster Productions, Inc.",4 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.442059974 37.779259997)
Chance - Season 1 Pilot,2016,Washington Square Park,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.41089 37.80051)
Copycat,1995,82 & 67 Rico Way (Marina District),,Regency Enterprises,Warner Bros. Pictures,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,,CA,San Francisco,POINT (-122.439788982 37.805006019)
Clickbait,2021,Jackson between Front and Davis,,"MasterKey Studios, Inc.",Netflix,"Brad Anderson, Emma Freeman, Cherie Nowlan, Ben Young","Tony Ayres, Christian White",Zoe Kavan,Betty Gabriel,Adrian Grenier,CA,San Francisco,POINT (-122.398329993 37.797080007)
Sense8 - Season 2,2016,67-69 Deming St.,,"Unpronounceable Productions, LLC",Netflix,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews,CA,San Francisco,POINT (-122.445766033 37.760332989)
The Matrix Resurrections,2021,Pine between Front and Montgomery,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.40255003 37.791919982)
Age of Adaline,2015,Pier 50- end of the pier,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn,CA,San Francisco,POINT (-122.383916975 37.773631005)
Ballers Season 3,2017,"Huntington Park (California & Taylor Streets, Nob Hill)",,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,CA,San Francisco,POINT (-122.412460038 37.791610019)
God is a Communist?* (show me heart universe),2010,Sacramento & Washington Streets,,Trismegistus Productions,,Jon Poznanter,Jon Poznanter,John Wynn,,,CA,San Francisco,POINT (-122.422048977 37.793165556)
Tales of the City,2019,Market and Noe St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.433140037 37.764240004)
Dirty Harry,1971,Hall of Justice (850 Bryant Street),,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.404281982 37.775144986)
Chance- Season 1 ep110,2016,18 Urbano,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.463112968 37.724702986)
Ballers Season 3,2017,Embarcadero around Rincon Park,,"Chori Perros Productions, LLC",HBO,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller,CA,San Francisco,POINT (-122.410722671 37.808306105)
Bedazzled,2000,1155 Filbert Street at Hyde,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,,CA,San Francisco,POINT (-122.418469024 37.800035005)
It Came From Beneath the Sea,1955,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,Faith Domergue,Donald Curtis,CA,San Francisco,POINT (-122.47847 37.81914)
GirlBoss,2017,"Mission Thrift, 2330 Mission St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.41957904 37.759416009)
Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,CA,San Francisco,POINT (-122.410437987 37.801430005)
Cardinal X,2015,812 22nd St. and Tennessee,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,CA,San Francisco,POINT (-122.389249961 37.75789)
Looking,2014,Folsom Street Fair on Folsom St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.393953862 37.787720205)
Looking Season 2 ep 206,2015,770 Haight Street,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.434883976 37.771797002)
Dim Sum: A Little Bit of Heart,1985,San Francisco International Airport,SFO has a museum dedicated to aviation history.,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong,CA,San Francisco,POINT (-122.39169 37.61479)
Venom,2018,Embarcadero at Harrison St,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.388610003 37.789500001)
The Phone/Jexi,2019,135 Mississippi St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,CA,San Francisco,POINT (-122.394533997 37.76473198)
Looking,2014,Valencia St. from 16th to 17th,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.420961108 37.755218654)
The OA Part II,2019,Cameron House - 920 Sacramento St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,CA,San Francisco,POINT (-122.408437981 37.793371979)
Surface,2022,Powell Street at Geary,,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,CA,San Francisco,POINT (-122.408209994 37.787360017)
Time After Time,1979,Lombard & Broderick Streets (Marina District),,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,CA,San Francisco,POINT (-122.444329961 37.798800016)
